model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Unconstrained,all,109,0.5258292838110836,0.2614003121852875,0.06568965315818787,14.866815567016602,1.4368275232377925,107,-0.2529444694519043
Unconstrained,newtonian,62,0.2696769405757227,0.21743498742580414,0.06568965315818787,0.824592113494873,0.17917552308798973,61,-0.07827941328287125
Unconstrained,power_law,47,0.8637323748875172,0.35252225399017334,0.09300782531499863,14.866815567016602,2.1318391542601787,46,-0.2529444694519043
Power-law-aware,all,109,0.19856734307260687,0.19603483378887177,0.04956860840320587,0.5708216428756714,0.08663735057287768,0,0.0
Power-law-aware,newtonian,62,0.17594347197201946,0.17366750538349152,0.04956860840320587,0.44560813903808594,0.07480788973407236,0,0.0
Power-law-aware,power_law,47,0.22841159856699883,0.21906454861164093,0.06482132524251938,0.5708216428756714,0.0919754443515348,0,0.0
Geometry-aware,all,109,0.1508440192737574,0.13095946609973907,0.01281327661126852,0.6027182340621948,0.10728535738372248,0,0.0
Geometry-aware,newtonian,62,0.11903704094490217,0.10334338620305061,0.01281327661126852,0.37838438153266907,0.08706316793874788,0,0.0
Geometry-aware,power_law,47,0.19280216089905577,0.16644470393657684,0.028901655226945877,0.6027182340621948,0.11661713985817375,0,0.0
