model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Power-law-aware,all,100,0.2978054388985038,0.22419267147779465,0.039309557527303696,1.8888401985168457,0.2685366951007805,0,0.0
Power-law-aware,newtonian,53,0.259038868166928,0.22359853982925415,0.039309557527303696,1.3781172037124634,0.21453191693968432,0,0.0
Power-law-aware,power_law,47,0.3415209335532594,0.2251376360654831,0.07074341922998428,1.8888401985168457,0.31292908178149975,0,0.0
