arch,sampling,holdout,fluid_model,n_seeds,mean_l2,mean_l2_seed_std,median_l2,median_l2_seed_std,max_l2,max_l2_seed_std,negative_rate_mean,negative_rate_seed_std
powerlaw,geo-axial,straight,newtonian,5,0.07780410,0.00418245,0.05592364,0.00441919,0.22189537,0.02336017,0.00000000,0.00000000
powerlaw,geo-axial,straight,power_law,5,0.13079825,0.00429337,0.10139628,0.01266166,0.43704958,0.02842834,0.00000000,0.00000000
powerlaw,geo-wallstretched,expanded,newtonian,5,0.21547282,0.02338232,0.17004437,0.01596813,0.73052766,0.20044051,0.00000000,0.00000000
powerlaw,geo-wallstretched,expanded,power_law,5,0.29952214,0.02735102,0.20530699,0.02466160,1.52279291,0.22391406,0.00000000,0.00000000
powerlaw,geo-wallstretched,hyperbolic,newtonian,5,0.17502030,0.00342629,0.17188785,0.00987967,0.37121201,0.02206397,0.00000000,0.00000000
powerlaw,geo-wallstretched,hyperbolic,power_law,5,0.22250134,0.00694530,0.21042398,0.00275593,0.54208138,0.06336188,0.00000000,0.00000000
powerlaw,geo-wallstretched,sinusoidal,newtonian,5,0.25305006,0.03449557,0.23006920,0.02268737,0.78871655,0.26256180,0.00000000,0.00000000
powerlaw,geo-wallstretched,sinusoidal,power_law,5,0.32746664,0.06031500,0.24456186,0.03287659,1.62222879,0.75706713,0.00000000,0.00000000
powerlaw,geo-wallstretched,stenosed,newtonian,5,0.20849665,0.01754290,0.19863043,0.01729386,0.41521432,0.09682012,0.00000000,0.00000000
powerlaw,geo-wallstretched,stenosed,power_law,5,0.23020174,0.02577965,0.20138285,0.00856835,0.88299261,0.29893567,0.00000000,0.00000000
powerlaw,geo-wallstretched,straight,newtonian,5,0.08331098,0.00299105,0.05956329,0.00601287,0.24999301,0.02165306,0.00000000,0.00000000
powerlaw,geo-wallstretched,straight,power_law,5,0.13620105,0.00551099,0.10527306,0.00821166,0.46051748,0.02778531,0.00000000,0.00000000
powerlaw,uniform,expanded,newtonian,5,0.24272159,0.01295689,0.19403927,0.01169189,0.83781319,0.11364400,0.00000000,0.00000000
powerlaw,uniform,expanded,power_law,5,0.32542763,0.02218546,0.21195564,0.02170732,1.70126548,0.13538961,0.00000000,0.00000000
powerlaw,uniform,hyperbolic,newtonian,5,0.17250757,0.00338944,0.17117801,0.00736210,0.34772234,0.02482377,0.00000000,0.00000000
powerlaw,uniform,hyperbolic,power_law,5,0.22354562,0.00967817,0.20793135,0.01459865,0.54556434,0.06226078,0.00000000,0.00000000
powerlaw,uniform,sinusoidal,newtonian,5,0.25521031,0.02761251,0.23493002,0.02809009,0.81595755,0.20522866,0.00000000,0.00000000
powerlaw,uniform,sinusoidal,power_law,5,0.32865780,0.06218963,0.25888882,0.03998689,1.58831825,0.80594282,0.00000000,0.00000000
powerlaw,uniform,stenosed,newtonian,5,0.20061477,0.01038303,0.19789897,0.01187645,0.39870044,0.05263901,0.00000000,0.00000000
powerlaw,uniform,stenosed,power_law,5,0.22308865,0.01251517,0.19396176,0.00932661,0.86961173,0.14426433,0.00000000,0.00000000
powerlaw,uniform,straight,newtonian,5,0.07942985,0.00392737,0.05422171,0.00681984,0.24501629,0.01349127,0.00000000,0.00000000
powerlaw,uniform,straight,power_law,5,0.13358447,0.00415566,0.10634570,0.00607962,0.44267563,0.03049380,0.00000000,0.00000000
unconstrained,geo-axial,expanded,newtonian,5,0.25456569,0.01933165,0.20027044,0.01875948,0.98002667,0.22290137,0.49629630,0.22883674
unconstrained,geo-axial,expanded,power_law,5,0.40142266,0.07652670,0.24808514,0.04631517,2.07873785,0.27599903,0.63396226,0.09490397
unconstrained,geo-axial,hyperbolic,newtonian,5,0.24651169,0.02064383,0.22172369,0.01272986,0.93002704,0.25274532,0.97741935,0.01838993
unconstrained,geo-axial,hyperbolic,power_law,5,0.54575030,0.08594155,0.30000894,0.02689588,6.47880998,2.54552976,0.90212766,0.01165367
unconstrained,geo-axial,sinusoidal,newtonian,5,0.54572988,0.11072102,0.31858020,0.03792924,2.43513432,0.76177457,0.70188679,0.07710497
unconstrained,geo-axial,sinusoidal,power_law,5,0.80724116,0.09891065,0.48281566,0.03554055,6.90409937,2.98949163,0.71914894,0.08694816
unconstrained,geo-axial,stenosed,newtonian,5,0.33930282,0.03872873,0.28928946,0.01201242,1.41040400,0.50299368,0.98461538,0.02293403
unconstrained,geo-axial,stenosed,power_law,5,0.58283436,0.09040900,0.28522595,0.02729014,8.58520222,4.08587903,0.97090909,0.00995859
unconstrained,geo-axial,straight,newtonian,5,0.11318954,0.03592144,0.09197582,0.02290904,0.34019465,0.14856498,0.43636364,0.09958592
unconstrained,geo-axial,straight,power_law,5,0.22595198,0.05302708,0.14748281,0.04870076,1.08171856,0.39847196,0.49565217,0.14370864
unconstrained,geo-wallstretched,expanded,newtonian,5,0.25191643,0.02453411,0.20715714,0.02355119,0.99905882,0.26873996,0.65925926,0.18078096
unconstrained,geo-wallstretched,expanded,power_law,5,0.41656769,0.07578708,0.25552535,0.05113823,2.37166522,0.55510801,0.72452830,0.11130476
unconstrained,geo-wallstretched,hyperbolic,newtonian,5,0.24862997,0.01486979,0.21518878,0.01190384,0.85873320,0.33922196,0.94193548,0.06993382
unconstrained,geo-wallstretched,hyperbolic,power_law,5,0.58551581,0.08743533,0.29847301,0.02428095,7.22398057,2.75251573,0.89361702,0.06382979
unconstrained,geo-wallstretched,sinusoidal,newtonian,5,0.54480856,0.08990775,0.32481865,0.03967933,2.64766862,0.75686826,0.67547170,0.06723973
unconstrained,geo-wallstretched,sinusoidal,power_law,5,0.85794494,0.07949551,0.48474329,0.07263469,7.21968117,2.89294878,0.66382979,0.10024867
unconstrained,geo-wallstretched,stenosed,newtonian,5,0.35662252,0.06054033,0.28171718,0.00372448,1.62419960,0.78390955,0.97435897,0.01813094
unconstrained,geo-wallstretched,stenosed,power_law,5,0.56751085,0.11536041,0.27804337,0.02486424,9.15563068,4.23366009,0.93454545,0.07340592
unconstrained,geo-wallstretched,straight,newtonian,5,0.11551179,0.02034349,0.09007933,0.01413700,0.38947982,0.11158554,0.36363636,0.19878245
unconstrained,geo-wallstretched,straight,power_law,5,0.24732600,0.02995070,0.16981084,0.02110211,1.45499030,0.50464037,0.60434783,0.21923134
unconstrained,uniform,expanded,newtonian,5,0.22395024,0.01203360,0.17851561,0.00864750,0.89271541,0.30296128,0.69629630,0.22665335
unconstrained,uniform,expanded,power_law,5,0.39099628,0.07745925,0.24214531,0.03396624,1.89808290,0.45835364,0.68679245,0.12907646
unconstrained,uniform,hyperbolic,newtonian,5,0.24893192,0.01869942,0.22040748,0.01596929,0.93336289,0.20357995,0.96774194,0.02280990
unconstrained,uniform,hyperbolic,power_law,5,0.55065390,0.10375002,0.31595353,0.04525083,6.41284380,2.69974054,0.89787234,0.06092690
unconstrained,uniform,sinusoidal,newtonian,5,0.56623159,0.10439980,0.35101832,0.05786098,2.42888300,0.79829725,0.70943396,0.04920153
unconstrained,uniform,sinusoidal,power_law,5,0.80305028,0.10261146,0.49973963,0.10130322,6.86001620,3.46434757,0.70212766,0.07370429
unconstrained,uniform,stenosed,newtonian,5,0.34495493,0.03001082,0.27946454,0.00546635,1.42600297,0.41980793,0.99487179,0.01146702
unconstrained,uniform,stenosed,power_law,5,0.61178164,0.05119469,0.29064290,0.02422782,10.12410221,3.61077412,0.98545455,0.01521200
unconstrained,uniform,straight,newtonian,5,0.10236180,0.02429094,0.07427281,0.01502314,0.41580003,0.17287066,0.35454545,0.18224382
unconstrained,uniform,straight,power_law,5,0.22574369,0.03538798,0.16608670,0.03424501,1.30228724,0.44850243,0.41739130,0.15479116
