model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Unconstrained,all,100,0.5725149119272828,0.3595956563949585,0.03418820723891258,5.278929710388184,0.6930614349935935,50,-0.19076506793498993
Unconstrained,newtonian,53,0.49584733659647545,0.35995954275131226,0.03418820723891258,2.7704856395721436,0.510956242050877,22,-0.08978792279958725
Unconstrained,power_law,47,0.6589698373003209,0.35923177003860474,0.05471684783697128,5.278929710388184,0.8446772442742428,28,-0.19076506793498993
Power-law-aware,all,100,0.27266418078914284,0.23508596420288086,0.01951647363603115,1.6111172437667847,0.21899225984016957,0,0.0
Power-law-aware,newtonian,53,0.22873345196668832,0.22009363770484924,0.01951647363603115,0.5540683269500732,0.11934679664822803,0,0.0
Power-law-aware,power_law,47,0.32220308775914475,0.2499333769083023,0.038252945989370346,1.6111172437667847,0.2852106012116191,0,0.0
Geometry-aware,all,100,0.3726097174361348,0.24459745734930038,0.01187300868332386,3.089580774307251,0.4622359625808816,0,0.0
Geometry-aware,newtonian,53,0.2841171570262819,0.2063082456588745,0.01187300868332386,1.6463139057159424,0.29518980792145105,0,0.0
Geometry-aware,power_law,47,0.47239920045150086,0.2914779782295227,0.038239385932683945,3.089580774307251,0.5809911491208799,0,0.0
