model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Unconstrained,all,90,0.10856465660035611,0.06975030153989792,0.016142873093485832,0.6909562349319458,0.11047341235187097,28,-0.009939346462488174
Unconstrained,newtonian,44,0.0698593370616436,0.05667252279818058,0.016142873093485832,0.1847759634256363,0.04073673248222104,19,-0.009939346462488174
Unconstrained,power_law,46,0.14558713615912458,0.10548364371061325,0.019595371559262276,0.6909562349319458,0.1395964318206134,9,-0.005501400213688612
Power-law-aware,all,90,0.1065454627180265,0.07463748753070831,0.011864624917507172,0.4318635165691376,0.09095193764630138,0,0.0
Power-law-aware,newtonian,44,0.078569934068417,0.056157179176807404,0.014799116179347038,0.2168927937746048,0.05676650374858445,0,0.0
Power-law-aware,power_law,46,0.1333046640350443,0.11588156968355179,0.011864624917507172,0.4318635165691376,0.10787890882262664,0,0.0
Geometry-aware,all,90,0.10248929233186775,0.07109808921813965,0.002096516313031316,0.4659745395183563,0.09385651485173568,0,0.0
Geometry-aware,newtonian,44,0.07223928011213006,0.052889637649059296,0.002096516313031316,0.22422339022159576,0.0629619827836004,0,0.0
Geometry-aware,power_law,46,0.13142408662900815,0.09363706409931183,0.0035947540309280157,0.4659745395183563,0.10830851453628773,0,0.0
