model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Power-law-aware,all,100,0.31076042022556066,0.23574432730674744,0.020044324919581413,2.164630174636841,0.31975715618790906,0,0.0
Power-law-aware,newtonian,53,0.26871235549168765,0.2117178738117218,0.020044324919581413,1.7029019594192505,0.26083213706872255,0,0.0
Power-law-aware,power_law,47,0.3581763230105664,0.24036669731140137,0.05755135416984558,2.164630174636841,0.36956900719710256,0,0.0
Geometry-aware,all,100,0.34046908834949136,0.24230926483869553,0.007637539878487587,1.997857689857483,0.3373851299118779,0,0.0
Geometry-aware,newtonian,53,0.29438106568073324,0.2361970841884613,0.007637539878487587,1.0957930088043213,0.25968686778477273,0,0.0
Geometry-aware,power_law,47,0.39244068838021856,0.25556471943855286,0.026170432567596436,1.997857689857483,0.40130559501212815,0,0.0
