model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Power-law-aware,all,100,0.3189408269897103,0.23820694535970688,0.025039684027433395,2.1215322017669678,0.32548409770277115,0,0.0
Power-law-aware,newtonian,53,0.27932935636842027,0.2077852338552475,0.025039684027433395,1.79610276222229,0.2772023189417338,0,0.0
Power-law-aware,power_law,47,0.36360908109456935,0.241153284907341,0.07497459650039673,2.1215322017669678,0.36740819099288025,0,0.0
Geometry-aware,all,100,0.3106668750569224,0.237139530479908,0.01958058401942253,1.8128074407577515,0.2955821659000899,0,0.0
Geometry-aware,newtonian,53,0.276067021039297,0.23586876690387726,0.01958058401942253,1.002354383468628,0.23401947737156564,0,0.0
Geometry-aware,power_law,47,0.3496837317150958,0.23841029405593872,0.04202808812260628,1.8128074407577515,0.3482275114862643,0,0.0
