model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Power-law-aware,all,100,0.32710804834961893,0.2350597232580185,0.04117421805858612,2.3029441833496094,0.35442834459544575,0,0.0
Power-law-aware,newtonian,53,0.27766685996134327,0.19997750222682953,0.04178702458739281,1.909011721611023,0.29268492971097576,0,0.0
Power-law-aware,power_law,47,0.3828608778087383,0.24227769672870636,0.04117421805858612,2.3029441833496094,0.4059682338108445,0,0.0
Geometry-aware,all,100,0.32382179396227,0.23481979966163635,0.016484584659337997,1.99853515625,0.31780841290831385,0,0.0
Geometry-aware,newtonian,53,0.2862834562459644,0.23344391584396362,0.016484584659337997,1.1583304405212402,0.2550915647904429,0,0.0
Geometry-aware,power_law,47,0.36615225989767847,0.23619568347930908,0.03728600963950157,1.99853515625,0.37167008815842195,0,0.0
