factor,first,second,n_blocks,first_mean_l2,second_mean_l2,mean_difference_first_minus_second,median_difference_first_minus_second,percent_reduction_second_vs_first,rank_biserial_first_minus_second,wilcoxon_statistic,p_raw,p_holm,significant_holm_0.05
architecture,unconstrained,powerlaw,15,0.4090743753333334,0.21522849133333333,0.193845884,0.18451740999999997,47.38646458655475,1.0,0.0,6.103515625e-05,0.00018310546875,True
architecture,unconstrained,geoaware,15,0.4090743753333334,0.17307932733333334,0.235995048,0.24536308999999998,57.690009990897124,1.0,0.0,6.103515625e-05,0.00018310546875,True
architecture,powerlaw,geoaware,15,0.21522849133333333,0.17307932733333334,0.042149164,0.04789105000000002,19.583450006496502,1.0,0.0,6.103515625e-05,0.00018310546875,True
sampling,uniform,geo-axial,15,0.2660326986666666,0.2640525913333333,0.0019801073333333297,0.0022188800000000064,0.7443097571303996,0.31666666666666665,41.0,0.30279541015625,0.6055908203125,False
sampling,uniform,geo-wallstretched,15,0.2660326986666666,0.267296904,-0.0012642053333333338,-0.0011280499999999916,-0.4752067470162387,-0.13333333333333333,52.0,0.67877197265625,0.67877197265625,False
sampling,geo-axial,geo-wallstretched,15,0.2640525913333333,0.267296904,-0.0032443126666666638,-0.003241990000000028,-1.2286615519599864,-0.4166666666666667,35.0,0.1688232421875,0.5064697265625,False
