model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Unconstrained,all,94,0.43693242352852163,0.256036177277565,0.058488618582487106,9.614127159118652,0.9950045344004667,91,-0.19782857596874237
Unconstrained,newtonian,39,0.2934415348065205,0.2469155192375183,0.06416171044111252,0.8112875819206238,0.1683196299971347,39,-0.073693186044693
Unconstrained,power_law,55,0.5386805082586679,0.25771453976631165,0.058488618582487106,9.614127159118652,1.2833611907039941,52,-0.19782857596874237
Power-law-aware,all,94,0.23549063392776123,0.199210062623024,0.04118017852306366,1.0766513347625732,0.1608081347554579,0,0.0
Power-law-aware,newtonian,39,0.2155218253342005,0.19344426691532135,0.046241987496614456,0.44844409823417664,0.100995290691527,0,0.0
Power-law-aware,power_law,55,0.24965033456683158,0.19928710162639618,0.04118017852306366,1.0766513347625732,0.19099688056136366,0,0.0
Geometry-aware,all,94,0.16665159402157556,0.10998708754777908,0.004498735535889864,1.6989011764526367,0.21904973107673134,0,0.0
Geometry-aware,newtonian,39,0.10592331541463351,0.09416617453098297,0.010925224050879478,0.26384618878364563,0.06655722513480823,0,0.0
Geometry-aware,power_law,55,0.20971346430649812,0.1339961439371109,0.004498735535889864,1.6989011764526367,0.2727569737402957,0,0.0
