model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Geometry-channel-aware,all,100,0.36159600570332256,0.21050024777650833,0.00631848955526948,3.4188554286956787,0.48790440352742026,0,0.0
Geometry-channel-aware,newtonian,53,0.299023950463688,0.20121848583221436,0.00631848955526948,2.0789825916290283,0.3551706243638974,0,0.0
Geometry-channel-aware,power_law,47,0.4321559828884424,0.22797070443630219,0.018077602609992027,3.4188554286956787,0.5956904679828803,0,0.0
