held_out_geometry,model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
straight,Unconstrained,all,90,0.1085646566003561,0.0697503015398979,0.0161428730934858,0.6909562349319458,0.1104734123518709,28,-0.0099393464624881
straight,Unconstrained,newtonian,44,0.0698593370616436,0.0566725227981805,0.0161428730934858,0.1847759634256363,0.040736732482221,19,-0.0099393464624881
straight,Unconstrained,power_law,46,0.1455871361591245,0.1054836437106132,0.0195953715592622,0.6909562349319458,0.1395964318206134,9,-0.0055014002136886
straight,Power-law-aware,all,90,0.1065454627180265,0.0746374875307083,0.0118646249175071,0.4318635165691376,0.0909519376463013,0,0.0
straight,Power-law-aware,newtonian,44,0.078569934068417,0.0561571791768074,0.014799116179347,0.2168927937746048,0.0567665037485844,0,0.0
straight,Power-law-aware,power_law,46,0.1333046640350443,0.1158815696835517,0.0118646249175071,0.4318635165691376,0.1078789088226266,0,0.0
straight,Geometry-aware,all,90,0.1024892923318677,0.0710980892181396,0.0020965163130313,0.4659745395183563,0.0938565148517356,0,0.0
straight,Geometry-aware,newtonian,44,0.07223928011213,0.0528896376490592,0.0020965163130313,0.2242233902215957,0.0629619827836004,0,0.0
straight,Geometry-aware,power_law,46,0.1314240866290081,0.0936370640993118,0.003594754030928,0.4659745395183563,0.1083085145362877,0,0.0
stenosed,Unconstrained,all,94,0.4369324235285216,0.256036177277565,0.0584886185824871,9.614127159118652,0.9950045344004668,91,-0.1978285759687423
stenosed,Unconstrained,newtonian,39,0.2934415348065205,0.2469155192375183,0.0641617104411125,0.8112875819206238,0.1683196299971347,39,-0.073693186044693
stenosed,Unconstrained,power_law,55,0.5386805082586679,0.2577145397663116,0.0584886185824871,9.614127159118652,1.283361190703994,52,-0.1978285759687423
stenosed,Power-law-aware,all,94,0.2354906339277612,0.199210062623024,0.0411801785230636,1.0766513347625732,0.1608081347554579,0,0.0
stenosed,Power-law-aware,newtonian,39,0.2155218253342005,0.1934442669153213,0.0462419874966144,0.4484440982341766,0.100995290691527,0,0.0
stenosed,Power-law-aware,power_law,55,0.2496503345668315,0.1992871016263961,0.0411801785230636,1.0766513347625732,0.1909968805613636,0,0.0
