model,fluid_model,count,mean_relative_l2,median_relative_l2,min_relative_l2,max_relative_l2,std_relative_l2,negative_prediction_count,min_prediction
Unconstrained,all,107,0.3279480506953235,0.20325089991092682,0.057643454521894455,2.3191819190979004,0.3656355164478026,74,-0.07808921486139297
Unconstrained,newtonian,54,0.24891300996144614,0.20099563151597977,0.07729464024305344,0.8770411610603333,0.1782853163762854,43,-0.032768458127975464
Unconstrained,power_law,53,0.40847431861285893,0.21912051737308502,0.057643454521894455,2.3191819190979004,0.47399033949542335,31,-0.07808921486139297
Power-law-aware,all,107,0.31250222225751834,0.22610920667648315,0.04718954488635063,2.468424081802368,0.3382816555586228,0,0.0
Power-law-aware,newtonian,54,0.2332642876577598,0.20294289290905,0.04718954488635063,0.695747435092926,0.1420114839784174,0,0.0
Power-law-aware,power_law,53,0.3932352122270836,0.24088932573795319,0.04777480661869049,2.468424081802368,0.4444832854884492,0,0.0
Geometry-aware,all,107,0.24974444492885442,0.17020513117313385,0.008039591833949089,2.2858517169952393,0.3101977378865573,0,0.0
Geometry-aware,newtonian,54,0.19353159161767475,0.15341828018426895,0.01592898741364479,0.7050593495368958,0.1487014912621688,0,0.0
Geometry-aware,power_law,53,0.30701791811382995,0.19039078056812286,0.008039591833949089,2.2858517169952393,0.40648701698557416,0,0.0
