run,arch,sampling,held_out,seed,epochs,batch_size,learning_rate,dataset_sha256,git_commit,git_dirty,device,wall_clock_seconds
geoaware__geo-axial__holdout-straight__seed-00,geoaware,geo-axial,straight,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.078968999907374
geoaware__geo-axial__holdout-straight__seed-01,geoaware,geo-axial,straight,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.194933749735355
geoaware__geo-axial__holdout-straight__seed-02,geoaware,geo-axial,straight,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.387334249913692
geoaware__geo-axial__holdout-straight__seed-03,geoaware,geo-axial,straight,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.340728083625436
geoaware__geo-axial__holdout-straight__seed-04,geoaware,geo-axial,straight,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.139047500677407
geoaware__geo-wallstretched__holdout-expanded__seed-00,geoaware,geo-wallstretched,expanded,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.74386183358729
geoaware__geo-wallstretched__holdout-expanded__seed-01,geoaware,geo-wallstretched,expanded,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.80141174979508
geoaware__geo-wallstretched__holdout-expanded__seed-02,geoaware,geo-wallstretched,expanded,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.74901399947703
geoaware__geo-wallstretched__holdout-expanded__seed-03,geoaware,geo-wallstretched,expanded,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.63507374934852
geoaware__geo-wallstretched__holdout-expanded__seed-04,geoaware,geo-wallstretched,expanded,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.70859366748482
geoaware__geo-wallstretched__holdout-hyperbolic__seed-00,geoaware,geo-wallstretched,hyperbolic,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.802369750104845
geoaware__geo-wallstretched__holdout-hyperbolic__seed-01,geoaware,geo-wallstretched,hyperbolic,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.81870483327657
geoaware__geo-wallstretched__holdout-hyperbolic__seed-02,geoaware,geo-wallstretched,hyperbolic,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.837004625238478
geoaware__geo-wallstretched__holdout-hyperbolic__seed-03,geoaware,geo-wallstretched,hyperbolic,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.86974716745317
geoaware__geo-wallstretched__holdout-hyperbolic__seed-04,geoaware,geo-wallstretched,hyperbolic,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.78418637532741
geoaware__geo-wallstretched__holdout-sinusoidal__seed-00,geoaware,geo-wallstretched,sinusoidal,0,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.889211249537766
geoaware__geo-wallstretched__holdout-sinusoidal__seed-01,geoaware,geo-wallstretched,sinusoidal,1,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.90446766652167
geoaware__geo-wallstretched__holdout-sinusoidal__seed-02,geoaware,geo-wallstretched,sinusoidal,2,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,19.096882082521915
geoaware__geo-wallstretched__holdout-sinusoidal__seed-03,geoaware,geo-wallstretched,sinusoidal,3,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,18.798124291934073
geoaware__geo-wallstretched__holdout-sinusoidal__seed-04,geoaware,geo-wallstretched,sinusoidal,4,1000,8192,0.0005,9e990c8bdb32afbe92f8ffd861f60ddaadb05ed32680f95d69259c3701adf966,f93559813bf07acd58fdfce71085e54825607a47,False,mps,19.18537912517786
